Set Number,Quantity
fig-002547,1
fig-010674,1
fig-004404,1
fig-015332,1
fig-014992,1
fig-001800,1
fig-003776,1
fig-004505,1
fig-016592,1
fig-003690,1
fig-003913,1
fig-003885,1
fig-015577,1
fig-004461,1
fig-004460,1
fig-001892,1
fig-004239,1
fig-013153,1
fig-010297,1
fig-004284,1
fig-004274,1
fig-004179,1
fig-004146,1
fig-002104,1
fig-004455,1
fig-002542,1
fig-015322,1
fig-016669,1
fig-004451,1
fig-004347,1
fig-004248,1
fig-003717,1
fig-003551,1
fig-015306,1
fig-003886,1
fig-003910,1
fig-004472,1
fig-004332,1
fig-010305,1
fig-004448,1
fig-004224,1
fig-001529,1
fig-004348,1
fig-000330,1
fig-003785,1
fig-004234,1
fig-014296,1
fig-004518,1
fig-003701,1
fig-003552,1
fig-003958,1
fig-012331,1
fig-003949,1
fig-003619,1
fig-003521,1
fig-003514,1
fig-003657,1
fig-004349,1
fig-003911,1
fig-012564,1
fig-004307,1
fig-003535,1
fig-015305,1
fig-003989,1
fig-003887,1
fig-013747,1
fig-003610,1
fig-003937,1
fig-013740,1
fig-002530,1
fig-003837,1
fig-011124,1
fig-004126,1
fig-014199,1
fig-004281,1
fig-013748,1
fig-003538,1
fig-003869,1
fig-004319,1
fig-004412,1
fig-010861,1
fig-004077,1
fig-003980,1
fig-003527,1
fig-004481,1
fig-003526,1
fig-003960,1
fig-002529,1
fig-012568,1
fig-010697,1
fig-003500,1
fig-003952,1
fig-003833,1
fig-015288,1
fig-003760,1
fig-001384,1
fig-004418,1
fig-000144,1
fig-001939,1
fig-001419,1
fig-003707,1
fig-004227,1
fig-003649,1
fig-012947,1
fig-013888,1
fig-003916,1
fig-003711,1
fig-004162,1
fig-011631,1
fig-007679,1
fig-003664,1
fig-012578,1
fig-004013,1
fig-003720,1
fig-004403,1
fig-003988,1
fig-001407,1
fig-013736,1
fig-011640,1
fig-015065,1
fig-004000,1
fig-004001,1
fig-015066,1
fig-004522,1
fig-004523,1
fig-004525,1
fig-004526,1
fig-014292,1
fig-004008,1
fig-004178,1
fig-010439,1
fig-004266,1
fig-010460,1
fig-004264,1
fig-011626,1
fig-015063,1
fig-004340,1
fig-010676,1
fig-003716,1
fig-003715,1
